  1  1 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.058005 -0.072516 -0.031241 -0.028418 -0.024956 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.017032 -0.014209
  8 10 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.043178  0.035811  0.005555  0.006298  0.001922 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.002406  0.003149
  8 11 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.049395  0.039889  0.006780  0.007853  0.003805 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.002853  0.003927

  9  1 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.017206 -0.017832 -0.007839 -0.008495 -0.008061 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.003591 -0.004247
  9  2 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.008583 -0.008689 -0.007078 -0.007800 -0.007478 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.003178 -0.003900
  9  3 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.000080 -0.000079 -0.006385 -0.007153 -0.006782 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.002809 -0.003576
  9  4 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.008299  0.008035 -0.005754 -0.006548 -0.005997 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.002479 -0.003274
  9  5 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.016548  0.015686 -0.005177 -0.005984 -0.005139 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.002185 -0.002992
  9  6 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.024664  0.022905 -0.004650 -0.005455 -0.004225 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001922 -0.002728
  9  7 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.032641  0.029718 -0.004167 -0.004960 -0.003267 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001687 -0.002480
  9  8 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.040477  0.036151 -0.003723 -0.004496 -0.002277 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001476 -0.002248
  9  9 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.048168  0.042226 -0.003316 -0.004060 -0.001262 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001286 -0.002030
  9 10 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.055711  0.047966 -0.002941 -0.003650 -0.000232 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001116 -0.001825
  9 11 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.063103  0.053389 -0.002596 -0.003264  0.000809 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.000964 -0.001632

 10  1 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.039523 -0.043918 -0.006278 -0.006387 -0.004310 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.003084 -0.003194
 10  2 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.030380 -0.032900 -0.003654 -0.004025 -0.002618 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001642 -0.002012
 10  3 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.021309 -0.022511 -0.001295 -0.001832 -0.000888 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.000379 -0.000916
 10  4 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.012320 -0.012705  0.000829  0.000204  0.000862 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.000727  0.000102
 10  5 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.003418 -0.003444  0.002744  0.002099  0.002619 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.001695  0.001049
 10  6 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.005389  0.005309  0.004475  0.003863  0.004372 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.002543  0.001932
 10  7 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.014094  0.013588  0.006040  0.005508  0.006113 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.003286  0.002754
 10  8 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.022691  0.021421  0.007458  0.007043  0.007834 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.003936  0.003522
 10  9 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.031173  0.028837  0.008744  0.008478  0.009529 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.004505  0.004239
 10 10 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.039536  0.035859  0.009911  0.009820  0.011195 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.005002  0.004910
 10 11 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.047773  0.042511  0.010973  0.011076  0.012828 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.005435  0.005538

